age,subject
25,SS1630945803732
48,SS1630946047579
39,SS1630948678486
22,SS1630948755198
40,SS1630948818400
18,SS1630949011055
22,SS1630949437798
29,SS1630950295124
52,SS1630950311863
20,SS1630950429319
24,SS1630950434896
40,SS1630950615055
30,SS1630950570403
32,SS1630950810787
29,SS1630950904931
30,SS1630950873228
19,SS1630951084066
21,SS1630951077199
29,SS1630951133808
22,SS1630951139571
22,SS1630951168843
32,SS1630951290582
27,SS1630951481721
24,SS1630951192553
22,SS1630951202004
40,SS1630951253791
19,SS1630951297610
58,SS1630951339331
28,SS1630951342053
22,SS1630951357889
20,SS1630951368875
28,SS1630951466070
25,SS1630951471938
40,SS1630951583340
58,SS1630951578437
26,SS1630951623475
30,SS1630951687790
27,SS1630951767439
20,SS1630951807437
20,SS1630951828892
36,SS1630951861361
34,SS1630951865586
28,SS1630951964890
18,SS1630951986199
23,SS1630952092916
28,SS1630952175106
48,SS1630952161025
31,SS1630952164635
41,SS1630952224427
18,SS1630952197333
29,SS1630952417154
27,SS1630952322184
20,SS1630952271154
20,SS1630952295180
21,SS1630952326222
23,SS1630952541828
42,SS1630952381393
23,SS1630952650695
25,SS1630956004245
30,SS1630952417185
29,SS1630952435679
26,SS1630952457080
23,SS1630952448403
26,SS1630952470116
37,SS1630952510283
30,SS1630952524765
23,SS1630952892883
32,SS1630952800043
44,SS1630952651059
22,SS1630952617003
42,SS1630952623030
34,SS1630952689391
31,SS1630952766318
28,SS1630952798224
30,SS1630952826677
18,SS1630952867481
24,SS1630952933005
22,SS1630953710776
30,SS1630953207559
21,SS1630953163340
32,SS1630953249512
28,SS1630953334692
28,SS1630953839030
18,SS1630953415738
29,SS1630953505629
25,SS1630953441889
28,SS1630953459504
23,SS1630953471980
22,SS1630953442228
20,SS1630953461861
31,SS1630953498093
27,SS1630953494168
23,SS1630953517709
27,SS1630953554290
25,SS1630953532068
44,SS1630953553324
22,SS1630953556646
26,SS1630953542990
22,SS1630953575996
20,SS1630953554728
21,SS1630953769134
29,SS1630953635529
23,SS1630953667755
31,SS1630953698602
22,SS1630954379939
22,SS1630954126310
22,SS1630953802556
28,SS1630953819807
25,SS1630953883201
22,SS1630954167514
20,SS1630954064103
50,SS1630953997814
26,SS1630953879284
30,SS1630953891677
25,SS1630954341338
24,SS1630953904498
22,SS1630953940846
27,SS1630953946267
29,SS1630954072972
23,SS1630954111816
40,SS1630954150612
26,SS1630954166127
22,SS1630954393348
21,SS1630954313784
26,SS1630954375072
41,SS1630954238919
22,SS1630954277601
46,SS1630954320000
24,SS1630954339434
19,SS1630954327708
55,SS1630954348988
24,SS1630954787275
39,SS1630954406402
24,SS1630954479656
47,SS1630954481966
23,SS1630954527405
27,SS1630954497385
25,SS1630954505666
37,SS1630954762415
23,SS1630954504336
27,SS1630954924244
25,SS1630954604629
19,SS1630954642738
25,SS1630954625278
35,SS1630954820680
35,SS1630954676290
20,SS1630954717126
20,SS1630954726338
24,SS1630954729160
31,SS1630954760267
44,SS1630954721348
25,SS1630954799923
36,SS1630954828983
28,SS1630955324434
24,SS1630954975391
29,SS1630954942940
47,SS1630955017066
21,SS1630955052262
19,SS1630954979271
26,SS1630955002012
21,SS1630954902838
46,SS1630955140240
49,SS1630955133458
21,SS1630955194667
55,SS1630955209556
40,SS1630955737024
22,SS1630955346320
25,SS1630955255251
NA,SS1630955275315
27,SS1630955845054
28,SS1630955582815
45,SS1630955362456
64,SS1630955391492
31,SS1630956108047
54,SS1630955385712
20,SS1630955596798
26,SS1630955462809
22,SS1630955814911
32,SS1630955550651
27,SS1630955858861
38,SS1630955887727
41,SS1630955712000
37,SS1630955974344
22,SS1630955985076
22,SS1630958865498
28,SS1630961119566
