"paper","long_cite","short_cite","doi","expt_num","expt_cond","pretty_cond_name","subj","specific_subject_id","sex","agedays","order","exposure_phase","train1","train2","train3","train4","train5","train6","train7","train8","train9","train10","train11","train12","train13","train14","last_train_trial","last_train_looking","expected1","expected2","expected3","unexpected1","unexpected2","unexpected3","num_trials","exp_or_control","equal_per_nov","domain","principle","PI_group","stim_loop","paper_expt_info","data_contains_all_trials"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","923","brandone_2009.1.1_successfulreaching8.923","m",228.3,"exp","habituation",10.8,7.6,4.9,4,4.6,3.7,3.7,3.4,NA,NA,NA,NA,NA,NA,"8",3.4,3.3,4.2,4.8,3.8,9.9,2.5,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","916","brandone_2009.1.1_successfulreaching8.916","f",246.6,"unexp","habituation",6.5,11,3.9,5.7,3,10.8,2.7,3.1,4.4,NA,NA,NA,NA,NA,"9",4.4,4.9,5.5,3.8,4.8,4.3,3.5,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","913","brandone_2009.1.1_successfulreaching8.913","f",231.3,"exp","habituation",6,10.4,10.3,2.8,2.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,"6",2.8,16.3,8.4,4.2,5,6.3,5.1,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","911","brandone_2009.1.1_successfulreaching8.911","m",239.5,"unexp","habituation",13.6,4.8,5.9,6.7,10.1,4.5,5.1,9.1,9.9,2.6,NA,NA,NA,NA,"10",2.6,6.9,3.2,25.4,2.8,6.8,8.9,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","906","brandone_2009.1.1_successfulreaching8.906","f",232.4,"unexp","habituation",13.1,10.1,9.3,5.7,6.5,6.1,6.5,6.3,2.4,NA,NA,NA,NA,NA,"9",2.4,2.2,7.6,2.1,2.4,2.1,8.8,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","914","brandone_2009.1.1_successfulreaching8.914","m",235.4,"unexp","habituation",11.5,2.4,6.6,4.2,3.6,4.8,4.9,17.8,10.8,10.4,NA,NA,NA,NA,"10",10.4,7.3,2.7,3.2,9.7,10.6,2,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","910","brandone_2009.1.1_successfulreaching8.910","m",229.3,"exp","habituation",10.7,9,9.2,6.6,10.4,12,8.2,4,4.1,6.1,NA,NA,NA,NA,"10",6.1,7.4,2,3,5.7,8.4,7,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","920","brandone_2009.1.1_successfulreaching8.920","f",232.4,"exp","habituation",12.4,9.6,7.6,10.8,4.7,11.1,8.5,8.1,4.8,4.1,NA,NA,NA,NA,"10",4.1,3.5,3.3,11.2,3.8,6.7,3.8,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","905","brandone_2009.1.1_successfulreaching8.905","m",232.4,"exp","habituation",11.6,9.9,4.4,4,2.5,8.7,NA,NA,NA,NA,NA,NA,NA,NA,"6",8.7,8.7,2.8,4.2,5.4,2,9.9,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","926","brandone_2009.1.1_successfulreaching8.926","m",236.4,"unexp","habituation",20.1,11.5,5.9,6.9,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",5.8,9.2,8.7,9.7,4.9,14.9,5.8,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
