subject,block_number,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
S001,1,curiosity,7,1,background,4949.189874227159,images/stimuli/3_A_a.gif,curiosity_background,3
S001,1,curiosity,7,2,background,4034.068782813847,images/stimuli/20_A_a.gif,curiosity_background,3
S001,1,curiosity,7,3,background,3731.413140310906,images/stimuli/5_A_a.gif,curiosity_background,4
S001,1,curiosity,7,4,background,2690.17507659737,images/stimuli/13_A_a.gif,curiosity_background,1
S001,1,curiosity,7,5,background,1209.4825006788597,images/stimuli/12_A_a.gif,curiosity_background,4
S001,1,curiosity,7,6,background,791.3800831884146,images/stimuli/8_A_a.gif,curiosity_background,2
S001,1,curiosity,7,7,deviant,25421.882898081094,images/stimuli/6_A_a.gif,curiosity_background,2
S002,1,curiosity,7,1,background,4106.053852825426,images/stimuli/9_A_a.gif,curiosity_background,3
S002,1,curiosity,7,2,background,3312.074915971607,images/stimuli/19_A_a.gif,curiosity_background,5
S002,1,curiosity,7,3,background,2481.088322820142,images/stimuli/3_A_a.gif,curiosity_background,5
S002,1,curiosity,7,4,background,1947.848411044106,images/stimuli/2_A_a.gif,curiosity_background,5
S002,1,curiosity,7,5,background,1756.7771227331832,images/stimuli/12_A_a.gif,curiosity_background,2
S002,1,curiosity,7,6,background,853.2181857153773,images/stimuli/15_A_a.gif,curiosity_background,5
S002,1,curiosity,7,7,deviant,25707.131933886558,images/stimuli/17_A_a.gif,curiosity_background,5
S003,1,curiosity,5,1,background,4877.6157919783145,images/stimuli/7_A_a.gif,curiosity_background,5
S003,1,curiosity,5,2,background,4717.973144259304,images/stimuli/18_A_a.gif,curiosity_background,2
S003,1,curiosity,5,3,background,895.5257665365934,images/stimuli/12_A_a.gif,curiosity_background,2
S003,1,curiosity,5,4,background,617.0481973094866,images/stimuli/6_A_a.gif,curiosity_background,2
S003,1,curiosity,5,5,deviant,27252.27952003479,images/stimuli/7_A_a.gif,curiosity_background,4
S004,1,curiosity,5,1,background,4316.484562004916,images/stimuli/6_A_a.gif,curiosity_background,2
S004,1,curiosity,5,2,background,2868.226561928168,images/stimuli/4_A_a.gif,curiosity_background,4
S004,1,curiosity,5,3,background,2167.223967728205,images/stimuli/3_A_a.gif,curiosity_background,4
S004,1,curiosity,5,4,background,1413.6802244465798,images/stimuli/14_A_a.gif,curiosity_background,2
S004,1,curiosity,5,5,deviant,23033.25170883909,images/stimuli/19_A_a.gif,curiosity_background,3
S005,1,curiosity,5,1,background,4307.880909298547,images/stimuli/18_A_a.gif,curiosity_background,4
S005,1,curiosity,5,2,background,3671.9503276981413,images/stimuli/15_A_a.gif,curiosity_background,2
S005,1,curiosity,5,3,background,2146.910622366704,images/stimuli/13_A_a.gif,curiosity_background,2
S005,1,curiosity,5,4,background,1565.9266797592863,images/stimuli/14_A_a.gif,curiosity_background,4
S005,1,curiosity,5,5,deviant,21076.08830789104,images/stimuli/18_A_a.gif,curiosity_background,4
