subject,block_number,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
S001,1,curiosity,5,1,background,6475.417961161318,images/stimuli/10_A_a.gif,curiosity_background,1
S001,1,curiosity,5,2,background,4689.472388203427,images/stimuli/18_A_a.gif,curiosity_background,2
S001,1,curiosity,5,3,background,3396.0975819047217,images/stimuli/11_A_a.gif,curiosity_background,3
S001,1,curiosity,5,4,background,2459.440600360942,images/stimuli/5_A_a.gif,curiosity_background,5
S001,1,curiosity,5,5,deviant,3822.034078930452,images/stimuli/20_A_a.gif,curiosity_background,3
S002,1,curiosity,5,1,background,6283.517542047126,images/stimuli/3_A_a.gif,curiosity_background,3
S002,1,curiosity,5,2,background,4179.070778316839,images/stimuli/8_A_a.gif,curiosity_background,4
S002,1,curiosity,5,3,background,2779.435635106361,images/stimuli/7_A_a.gif,curiosity_background,1
S002,1,curiosity,5,4,background,1848.559849663643,images/stimuli/10_A_a.gif,curiosity_background,3
S002,1,curiosity,5,5,deviant,4258.317131998481,images/stimuli/9_A_a.gif,curiosity_background,5
S003,1,curiosity,7,1,background,4131.148364369295,images/stimuli/7_A_a.gif,curiosity_background,5
S003,1,curiosity,7,2,background,2986.7669713296623,images/stimuli/9_A_a.gif,curiosity_background,5
S003,1,curiosity,7,3,background,2159.3939878718693,images/stimuli/9_A_a.gif,curiosity_background,4
S003,1,curiosity,7,4,background,1561.2139948036486,images/stimuli/10_A_a.gif,curiosity_background,5
S003,1,curiosity,7,5,background,1128.737576959204,images/stimuli/7_A_a.gif,curiosity_background,2
S003,1,curiosity,7,6,background,816.0627062531358,images/stimuli/6_A_a.gif,curiosity_background,1
S003,1,curiosity,7,7,deviant,3134.6515501144145,images/stimuli/2_A_a.gif,curiosity_background,1
S004,1,curiosity,5,1,background,4700.277680789713,images/stimuli/9_A_a.gif,curiosity_background,3
S004,1,curiosity,5,2,background,3068.7767836679545,images/stimuli/15_A_a.gif,curiosity_background,1
S004,1,curiosity,5,3,background,2003.5818280415258,images/stimuli/16_A_a.gif,curiosity_background,2
S004,1,curiosity,5,4,background,1308.1238632352017,images/stimuli/20_A_a.gif,curiosity_background,1
S004,1,curiosity,5,5,deviant,4428.321076296624,images/stimuli/6_A_a.gif,curiosity_background,2
S005,1,curiosity,7,1,background,3844.9508058421125,images/stimuli/19_A_a.gif,curiosity_background,1
S005,1,curiosity,7,2,background,2489.476676136789,images/stimuli/20_A_a.gif,curiosity_background,3
S005,1,curiosity,7,3,background,1611.8526436313437,images/stimuli/14_A_a.gif,curiosity_background,5
S005,1,curiosity,7,4,background,1043.6205206039842,images/stimuli/3_A_a.gif,curiosity_background,3
S005,1,curiosity,7,5,background,675.7092810742292,images/stimuli/8_A_a.gif,curiosity_background,2
S005,1,curiosity,7,6,background,437.4990942738545,images/stimuli/16_A_a.gif,curiosity_background,5
S005,1,curiosity,7,7,deviant,3687.41410218011,images/stimuli/12_A_a.gif,curiosity_background,5
S006,1,curiosity,7,1,background,6327.165641539922,images/stimuli/12_A_a.gif,curiosity_background,3
S006,1,curiosity,7,2,background,4233.176437688814,images/stimuli/2_A_a.gif,curiosity_background,3
S006,1,curiosity,7,3,background,2832.1975064086346,images/stimuli/10_A_a.gif,curiosity_background,1
S006,1,curiosity,7,4,background,1894.8755936302755,images/stimuli/12_A_a.gif,curiosity_background,3
S006,1,curiosity,7,5,background,1267.76240259059,images/stimuli/20_A_a.gif,curiosity_background,5
S006,1,curiosity,7,6,background,848.1936834402354,images/stimuli/14_A_a.gif,curiosity_background,2
S006,1,curiosity,7,7,deviant,4336.178340234779,images/stimuli/17_A_a.gif,curiosity_background,3
S007,1,curiosity,7,1,background,4289.03088610495,images/stimuli/11_A_a.gif,curiosity_background,2
S007,1,curiosity,7,2,background,2906.8467153994256,images/stimuli/4_A_a.gif,curiosity_background,5
S007,1,curiosity,7,3,background,1970.085562732334,images/stimuli/12_A_a.gif,curiosity_background,3
S007,1,curiosity,7,4,background,1335.205294426081,images/stimuli/14_A_a.gif,curiosity_background,4
S007,1,curiosity,7,5,background,904.9217008579514,images/stimuli/19_A_a.gif,curiosity_background,4
S007,1,curiosity,7,6,background,613.3014062347863,images/stimuli/7_A_a.gif,curiosity_background,1
S007,1,curiosity,7,7,deviant,3439.483732780615,images/stimuli/9_A_a.gif,curiosity_background,4
S008,1,curiosity,5,1,background,4409.108880021246,images/stimuli/16_A_a.gif,curiosity_background,4
S008,1,curiosity,5,2,background,2772.081934105261,images/stimuli/20_A_a.gif,curiosity_background,4
S008,1,curiosity,5,3,background,1742.8551796969316,images/stimuli/8_A_a.gif,curiosity_background,1
