study_ID,long_cite,stimuli_on_screen,animated_stimuli,stmuli_available
biro_2007,"Biro, S., Csibra, G., & Gergely, G. (2007). The role of behavioral cues in understanding goal-directed actions in infancy. Progress in brain research, 164, 303-322.",yes,yes,available as figures
brandone_2009,"Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.",yes,no,schematic available as figure
choi_2018,"Choi, Y. J., Mou, Y., & Luo, Y. (2018). How do 3-month-old infants attribute preferences to a human agent?. Journal of experimental child psychology, 172, 96-106.",no,no,available as figures
chuey_2021,"Chuey A,, Asaba M, Bridgers S, Carrillo B, Dietz G, Garcia T, Leonard JA, Liu S, Merrick M, Radwan S, Stegall J, Velez N, Woo B, Wu Y, Zhou XJ, Frank MC, Gweon H. Moderated Online Data-Collection for Developmental Research: Methods and Replications. Front Psychol. 2021 Nov 3;12:734398. doi: 10.3389/fpsyg.2021.734398. PMID: 34803813; PMCID: PMC8595939.",yes,no,available as figures
gerson_2014a,"Gerson, S. A., & Woodward, A. L. (2014). The joint role of trained, untrained, and observed actions at the origins of goal recognition. Infant behavior and development, 37(1), 94-104.",no,no,available as figures
gerson_2014b,"Gerson, S. A., & Woodward, A. L. (2014). Learning from their own actions: The unique effect of producing actions on infants' action understanding. Child development, 85(1), 264-277.",no,no,available as black and white figures
hernik_2012,"Hernik, M., & Southgate, V. (2012). Nine-months-old infants do not need to know what the agent prefers in order to reason about its goals: On the role of preference and persistence in infants’ goal-attribution. Developmental science, 15(5), 714-722.",yes,yes,available as figures
hespos_2009,"Hespos, S. J., Ferry, A. L., & Rips, L. J. (2009). Five-month-old infants have different expectations for solids and liquids. Psychological Science, 20(5), 603-611.",no,no,available as figures
jackson_2022,"Jackson, I. R., & Sirois, S. (2022). But that’s possible! Infants, pupils, and impossible events. Infant Behavior and Development, 67, 101710.",yes,no,available as figures
lakusta_2015,"Lakusta, L., & Carey, S. (2015). Twelve-month-old infants’ encoding of goal and source paths in agentive and non-agentive motion events. Language Learning and Development, 11(2), 152-175.",no,no,available as black and white figures
