subject,block_number,block_type,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response,complexity
SS1630954167514,1,complex_dissimilar,curiosity,4,4,deviant,11090.200000047684,images/stimuli/complex_10_A_a.gif,curiosity_novel,1,complex
SS1630954313784,1,simple_dissimilar,curiosity,4,4,deviant,6221.4000000059605,images/stimuli/simple_12_A_a.gif,curiosity_background,2,simple
SS1630954348988,1,complex_dissimilar,curiosity,4,4,deviant,5158,images/stimuli/complex_18_A_a.gif,curiosity_background,3,complex
SS1630954375072,1,complex_dissimilar,curiosity,6,6,deviant,4915.800000000745,images/stimuli/complex_05_A_a.gif,curiosity_novel,2,complex
SS1630954393348,1,complex_dissimilar,curiosity,4,4,deviant,6051,images/stimuli/complex_09_A_a.gif,curiosity_background,3,complex
SS1630954481966,1,complex_dissimilar,curiosity,6,6,deviant,4864.20000000298,images/stimuli/complex_14_A_a.gif,curiosity_background,2,complex
SS1630954497385,1,complex_dissimilar,curiosity,4,4,deviant,3624,images/stimuli/complex_18_A_a.gif,curiosity_background,2,complex
SS1630954527405,1,complex_dissimilar,curiosity,6,6,deviant,7201,images/stimuli/complex_11_A_a.gif,curiosity_background,3,complex
SS1630954625278,1,complex_dissimilar,curiosity,6,6,deviant,8831,images/stimuli/complex_06_A_a.gif,curiosity_background,1,complex
SS1630954717126,1,simple_dissimilar,curiosity,4,4,deviant,4704.199999988079,images/stimuli/simple_10_A_a.gif,curiosity_novel,4,simple
SS1630954760267,1,complex_dissimilar,curiosity,4,4,deviant,4228.30000000447,images/stimuli/complex_02_A_a.gif,curiosity_novel,2,complex
SS1630954762415,1,complex_dissimilar,curiosity,4,4,deviant,6181,images/stimuli/complex_14_A_a.gif,curiosity_novel,0,complex
SS1630954787275,1,complex_dissimilar,curiosity,6,6,deviant,5814.100000023842,images/stimuli/complex_04_A_a.gif,curiosity_background,4,complex
SS1630954828983,1,simple_dissimilar,curiosity,6,6,deviant,8569.5,images/stimuli/simple_20_A_a.gif,curiosity_novel,1,simple
SS1630954902838,1,complex_dissimilar,curiosity,6,6,deviant,9383.299999952316,images/stimuli/complex_01_A_a.gif,curiosity_novel,3,complex
SS1630954979271,1,simple_dissimilar,curiosity,4,4,deviant,5453.899999976158,images/stimuli/simple_04_A_a.gif,curiosity_background,1,simple
SS1630955002012,1,complex_dissimilar,curiosity,4,4,deviant,4749,images/stimuli/complex_02_A_a.gif,curiosity_background,3,complex
SS1630955017066,1,simple_dissimilar,curiosity,4,4,deviant,959,images/stimuli/simple_09_A_a.gif,curiosity_novel,3,simple
SS1630955133458,1,simple_dissimilar,curiosity,6,6,deviant,6070.0999999940395,images/stimuli/simple_05_A_a.gif,curiosity_novel,1,simple
SS1630955255251,1,simple_dissimilar,curiosity,4,4,deviant,4539.699999988079,images/stimuli/simple_19_A_a.gif,curiosity_background,1,simple
SS1630955462809,1,simple_dissimilar,curiosity,4,4,deviant,2953.5,images/stimuli/simple_07_A_a.gif,curiosity_novel,0,simple
SS1630955550651,1,complex_dissimilar,curiosity,4,4,deviant,4810.9000000059605,images/stimuli/complex_08_A_a.gif,curiosity_background,3,complex
SS1630955596798,1,simple_dissimilar,curiosity,6,6,deviant,3449.2999999998137,images/stimuli/simple_05_A_a.gif,curiosity_background,1,simple
SS1630955814911,1,complex_dissimilar,curiosity,4,4,deviant,9687.39999999944,images/stimuli/complex_20_A_a.gif,curiosity_background,1,complex
SS1630955985076,1,simple_dissimilar,curiosity,6,6,deviant,8020.199999999255,images/stimuli/simple_05_A_a.gif,curiosity_background,2,simple
SS1630958865498,1,complex_dissimilar,curiosity,6,6,deviant,9913.799999999814,images/stimuli/complex_10_A_a.gif,curiosity_background,3,complex
SS1630945803732,1,simple_dissimilar,memory,6,6,deviant,7464.29999999702,images/stimuli/simple_19_A_a.gif,memory_background,1,simple
SS1630949437798,1,simple_dissimilar,memory,6,6,deviant,3698.299999952316,images/stimuli/simple_03_A_a.gif,memory_background,1,simple
SS1630950311863,1,complex_dissimilar,memory,6,6,deviant,7197.799999952316,images/stimuli/complex_14_A_a.gif,memory_novel,1,complex
SS1630950615055,1,complex_dissimilar,memory,6,6,deviant,8371.699999988079,images/stimuli/complex_13_A_a.gif,memory_novel,1,complex
SS1630950904931,1,complex_dissimilar,memory,4,4,deviant,7144.700000047684,images/stimuli/complex_11_A_a.gif,memory_background,1,complex
SS1630951077199,1,simple_dissimilar,memory,4,4,deviant,2736.7999999523163,images/stimuli/simple_03_A_a.gif,memory_novel,1,simple
SS1630951139571,1,complex_dissimilar,memory,6,6,deviant,7043.5999999940395,images/stimuli/complex_03_A_a.gif,memory_novel,1,complex
SS1630951192553,1,simple_dissimilar,memory,4,4,deviant,3562.7000000178814,images/stimuli/simple_01_A_a.gif,memory_background,1,simple
SS1630951202004,1,simple_dissimilar,memory,4,4,deviant,5893,images/stimuli/simple_13_A_a.gif,memory_novel,1,simple
SS1630951342053,1,complex_dissimilar,memory,6,6,deviant,5414,images/stimuli/complex_12_A_a.gif,memory_novel,1,complex
SS1630951357889,1,simple_dissimilar,memory,4,4,deviant,5894.899999976158,images/stimuli/simple_07_A_a.gif,memory_background,1,simple
SS1630951687790,1,complex_dissimilar,memory,6,6,deviant,3637.699999988079,images/stimuli/complex_12_A_a.gif,memory_background,1,complex
SS1630951861361,1,complex_dissimilar,memory,4,4,deviant,4582,images/stimuli/complex_10_A_a.gif,memory_background,1,complex
SS1630952092916,1,simple_dissimilar,memory,6,6,deviant,2975.099999997765,images/stimuli/simple_10_A_a.gif,memory_background,1,simple
SS1630952164635,1,complex_dissimilar,memory,6,6,deviant,6759.900000095367,images/stimuli/complex_13_A_a.gif,memory_novel,1,complex
SS1630952197333,1,complex_dissimilar,memory,4,4,deviant,5614.200000047684,images/stimuli/complex_19_A_a.gif,memory_novel,1,complex
SS1630952326222,1,simple_dissimilar,memory,4,4,deviant,4471.505000023171,images/stimuli/simple_13_A_a.gif,memory_background,1,simple
SS1630952417154,1,simple_dissimilar,memory,6,6,deviant,8386.400000000023,images/stimuli/simple_20_A_a.gif,memory_background,1,simple
SS1630952650695,1,complex_dissimilar,memory,6,6,deviant,5991.79999999702,images/stimuli/complex_17_A_a.gif,memory_background,1,complex
SS1630952651059,1,complex_dissimilar,memory,4,4,deviant,19224.299999999817,images/stimuli/complex_10_A_a.gif,memory_background,1,complex
SS1630952892883,1,simple_dissimilar,memory,4,4,deviant,6041.900000002235,images/stimuli/simple_08_A_a.gif,memory_novel,1,simple
SS1630952933005,1,simple_dissimilar,memory,6,6,deviant,3268.800000190735,images/stimuli/simple_02_A_a.gif,memory_novel,1,simple
SS1630953249512,1,complex_dissimilar,memory,4,4,deviant,3952.599999994039,images/stimuli/complex_01_A_a.gif,memory_background,1,complex
SS1630953415738,1,simple_dissimilar,memory,4,4,deviant,3317.100000143051,images/stimuli/simple_12_A_a.gif,memory_novel,1,simple
SS1630953459504,1,complex_dissimilar,memory,6,6,deviant,12025.19999998808,images/stimuli/complex_13_A_a.gif,memory_background,1,complex
SS1630953554728,1,simple_dissimilar,memory,6,6,deviant,24897.60000014305,images/stimuli/simple_15_A_a.gif,memory_background,1,simple
SS1630953819807,1,simple_dissimilar,memory,4,4,deviant,8505.599999964237,images/stimuli/simple_20_A_a.gif,memory_novel,1,simple
SS1630953879284,1,complex_dissimilar,memory,4,4,deviant,5019.29999999702,images/stimuli/complex_05_A_a.gif,memory_background,1,complex
SS1630953904498,1,simple_dissimilar,memory,6,6,deviant,6885.399999999907,images/stimuli/simple_09_A_a.gif,memory_background,1,simple
SS1630954064103,1,complex_dissimilar,memory,4,4,deviant,17088.700000047684,images/stimuli/complex_14_A_a.gif,memory_background,1,complex
SS1630954166127,1,simple_dissimilar,memory,6,6,deviant,4548.700000047684,images/stimuli/simple_13_A_a.gif,memory_background,1,simple
SS1630954238919,1,complex_dissimilar,memory,4,4,deviant,503.29999999701977,images/stimuli/complex_19_A_a.gif,memory_novel,1,complex
SS1630954277601,1,complex_dissimilar,memory,4,4,deviant,28461.79999999702,images/stimuli/complex_03_A_a.gif,memory_background,1,complex
SS1630954327708,1,simple_dissimilar,memory,4,4,deviant,5911.300000011921,images/stimuli/simple_15_A_a.gif,memory_novel,1,simple
SS1630954379939,1,complex_dissimilar,memory,4,4,deviant,16486,images/stimuli/complex_17_A_a.gif,memory_novel,1,complex
SS1630954479656,1,simple_dissimilar,memory,4,4,deviant,6425.200000000186,images/stimuli/simple_06_A_a.gif,memory_novel,1,simple
SS1630954676290,1,complex_dissimilar,memory,4,4,deviant,18980.79999999702,images/stimuli/complex_01_A_a.gif,memory_background,1,complex
SS1630954820680,1,complex_dissimilar,memory,4,4,deviant,7352.5,images/stimuli/complex_19_A_a.gif,memory_background,1,complex
SS1630954924244,1,simple_dissimilar,memory,4,4,deviant,1988.2999997138977,images/stimuli/simple_17_A_a.gif,memory_novel,1,simple
SS1630955275315,1,complex_dissimilar,memory,6,6,deviant,4276.60000000149,images/stimuli/complex_05_A_a.gif,memory_novel,1,complex
SS1630955324434,1,complex_dissimilar,memory,6,6,deviant,7148.70000000298,images/stimuli/complex_10_A_a.gif,memory_background,0,complex
SS1630955346320,1,complex_dissimilar,memory,6,6,deviant,1146.60000000149,images/stimuli/complex_06_A_a.gif,memory_novel,1,complex
SS1630955362456,1,complex_dissimilar,memory,4,4,deviant,4393,images/stimuli/complex_09_A_a.gif,memory_novel,1,complex
SS1630955712000,1,simple_dissimilar,memory,6,6,deviant,9700,images/stimuli/simple_17_A_a.gif,memory_background,1,simple
SS1630955845054,1,complex_dissimilar,memory,4,4,deviant,9189.100000023842,images/stimuli/complex_06_A_a.gif,memory_background,1,complex
SS1630955887727,1,simple_dissimilar,memory,6,6,deviant,6005.5,images/stimuli/simple_10_A_a.gif,memory_novel,1,simple
SS1630955974344,1,simple_dissimilar,memory,6,6,deviant,17543.599999964237,images/stimuli/simple_12_A_a.gif,memory_background,1,simple
SS1630956108047,1,simple_dissimilar,memory,4,4,deviant,5395,images/stimuli/simple_09_A_a.gif,memory_background,0,simple
SS1630961119566,1,simple_dissimilar,memory,4,4,deviant,4488.100000023842,images/stimuli/simple_05_A_a.gif,memory_novel,1,simple
SS1630950429319,1,complex_dissimilar,math,4,4,deviant,2817.5999999999767,images/stimuli/complex_20_A_a.gif,math,1,complex
SS1630950570403,1,complex_dissimilar,math,6,6,deviant,1820.000000006985,images/stimuli/complex_01_A_a.gif,math,1,complex
SS1630950873228,1,simple_dissimilar,math,6,6,deviant,8124,images/stimuli/simple_19_A_a.gif,math,1,simple
SS1630951084066,1,complex_dissimilar,math,4,4,deviant,6712.799999952316,images/stimuli/complex_15_A_a.gif,math,1,complex
SS1630951168843,1,simple_dissimilar,math,6,6,deviant,5351.299999952316,images/stimuli/simple_09_A_a.gif,math,1,simple
SS1630951253791,1,complex_dissimilar,math,4,4,deviant,508,images/stimuli/complex_19_A_a.gif,math,1,complex
SS1630951368875,1,simple_dissimilar,math,4,4,deviant,5946.799999982119,images/stimuli/simple_10_A_a.gif,math,1,simple
SS1630951481721,1,complex_dissimilar,math,6,6,deviant,2172.599999904633,images/stimuli/complex_10_A_a.gif,math,1,complex
SS1630951583340,1,simple_dissimilar,math,4,4,deviant,933,images/stimuli/simple_03_A_a.gif,math,1,simple
SS1630951623475,1,complex_dissimilar,math,6,6,deviant,6357.299999982119,images/stimuli/complex_10_A_a.gif,math,1,complex
SS1630951807437,1,complex_dissimilar,math,4,4,deviant,3618.899999856949,images/stimuli/complex_18_A_a.gif,math,1,complex
SS1630951865586,1,complex_dissimilar,math,4,4,deviant,5325,images/stimuli/complex_12_A_a.gif,math,1,complex
SS1630951964890,1,simple_dissimilar,math,4,4,deviant,3658.29999999702,images/stimuli/simple_09_A_a.gif,math,1,simple
SS1630951986199,1,complex_dissimilar,math,6,6,deviant,8819.899999976158,images/stimuli/complex_11_A_a.gif,math,1,complex
SS1630952175106,1,complex_dissimilar,math,6,6,deviant,9663,images/stimuli/complex_18_A_a.gif,math,1,complex
SS1630952417185,1,complex_dissimilar,math,4,4,deviant,32525.700000047684,images/stimuli/complex_18_A_a.gif,math,1,complex
SS1630952448403,1,simple_dissimilar,math,6,6,deviant,6390,images/stimuli/simple_14_A_a.gif,math,1,simple
SS1630952457080,1,complex_dissimilar,math,4,4,deviant,5021.399999991059,images/stimuli/complex_07_A_a.gif,math,1,complex
SS1630952510283,1,simple_dissimilar,math,4,4,deviant,10546,images/stimuli/simple_20_A_a.gif,math,1,simple
SS1630952623030,1,complex_dissimilar,math,4,4,deviant,1114,images/stimuli/complex_18_A_a.gif,math,1,complex
SS1630952689391,1,simple_dissimilar,math,4,4,deviant,1846.4000000059605,images/stimuli/simple_11_A_a.gif,math,1,simple
SS1630952798224,1,simple_dissimilar,math,4,4,deviant,8973.100000023842,images/stimuli/simple_20_A_a.gif,math,1,simple
SS1630953163340,1,complex_dissimilar,math,4,4,deviant,852.6999999880791,images/stimuli/complex_02_A_a.gif,math,1,complex
SS1630953334692,1,complex_dissimilar,math,6,6,deviant,6330.799999952316,images/stimuli/complex_11_A_a.gif,math,1,complex
SS1630953442228,1,complex_dissimilar,math,4,4,deviant,11894,images/stimuli/complex_08_A_a.gif,math,1,complex
SS1630953461861,1,simple_dissimilar,math,6,6,deviant,8676.399999976158,images/stimuli/simple_05_A_a.gif,math,1,simple
SS1630953517709,1,complex_dissimilar,math,4,4,deviant,2724.8999999910593,images/stimuli/complex_16_A_a.gif,math,1,complex
SS1630953532068,1,complex_dissimilar,math,4,4,deviant,6182,images/stimuli/complex_12_A_a.gif,math,1,complex
SS1630953553324,1,simple_dissimilar,math,4,4,deviant,650,images/stimuli/simple_04_A_a.gif,math,1,simple
SS1630953556646,1,simple_dissimilar,math,6,6,deviant,6829.20000000298,images/stimuli/simple_17_A_a.gif,math,1,simple
SS1630953575996,1,simple_dissimilar,math,6,6,deviant,7358.69999999553,images/stimuli/simple_07_A_a.gif,math,1,simple
SS1630953635529,1,simple_dissimilar,math,4,4,deviant,12392.799999952316,images/stimuli/simple_10_A_a.gif,math,1,simple
SS1630953667755,1,simple_dissimilar,math,6,6,deviant,6033,images/stimuli/simple_17_A_a.gif,math,1,simple
SS1630953698602,1,complex_dissimilar,math,4,4,deviant,7177.700000047684,images/stimuli/complex_14_A_a.gif,math,1,complex
SS1630953769134,1,simple_dissimilar,math,4,4,deviant,6293.5,images/stimuli/simple_02_A_a.gif,math,1,simple
SS1630953839030,1,complex_dissimilar,math,4,4,deviant,8733.39999999106,images/stimuli/complex_13_A_a.gif,math,1,complex
SS1630953891677,1,complex_dissimilar,math,4,4,deviant,3554.29999999702,images/stimuli/complex_17_A_a.gif,math,1,complex
SS1630953997814,1,complex_dissimilar,math,4,4,deviant,980,images/stimuli/complex_04_A_a.gif,math,1,complex
SS1630954111816,1,complex_dissimilar,math,6,6,deviant,3745.6000022888184,images/stimuli/complex_12_A_a.gif,math,1,complex
SS1630954126310,1,simple_dissimilar,math,6,6,deviant,3527.100000023842,images/stimuli/simple_15_A_a.gif,math,1,simple
SS1630954150612,1,complex_dissimilar,math,4,4,deviant,4696.900000035763,images/stimuli/complex_08_A_a.gif,math,1,complex
SS1630954320000,1,simple_dissimilar,math,4,4,deviant,805,images/stimuli/simple_19_A_a.gif,math,1,simple
SS1630954339434,1,simple_dissimilar,math,6,6,deviant,4989.4000000003725,images/stimuli/simple_16_A_a.gif,math,1,simple
SS1630954341338,1,complex_dissimilar,math,4,4,deviant,6657.799999952316,images/stimuli/complex_07_A_a.gif,math,1,complex
SS1630954406402,1,simple_dissimilar,math,4,4,deviant,8369.799999952316,images/stimuli/simple_15_A_a.gif,math,1,simple
SS1630954504336,1,complex_dissimilar,math,4,4,deviant,4813,images/stimuli/complex_16_A_a.gif,math,1,complex
SS1630954505666,1,simple_dissimilar,math,6,6,deviant,4576.200000047684,images/stimuli/simple_07_A_a.gif,math,1,simple
SS1630954604629,1,complex_dissimilar,math,6,6,deviant,8640,images/stimuli/complex_18_A_a.gif,math,1,complex
SS1630954642738,1,simple_dissimilar,math,4,4,deviant,7009.400000095367,images/stimuli/simple_01_A_a.gif,math,1,simple
SS1630954721348,1,complex_dissimilar,math,6,6,deviant,3220,images/stimuli/complex_05_A_a.gif,math,1,complex
SS1630954726338,1,simple_dissimilar,math,6,6,deviant,6041.800000071526,images/stimuli/simple_08_A_a.gif,math,1,simple
SS1630954729160,1,simple_dissimilar,math,6,6,deviant,8350.59999999404,images/stimuli/simple_17_A_a.gif,math,1,simple
SS1630954799923,1,simple_dissimilar,math,4,4,deviant,6551,images/stimuli/simple_19_A_a.gif,math,1,simple
SS1630954942940,1,complex_dissimilar,math,6,6,deviant,1593.1399998953566,images/stimuli/complex_03_A_a.gif,math,1,complex
SS1630954975391,1,complex_dissimilar,math,4,4,deviant,4020.2000000001863,images/stimuli/complex_20_A_a.gif,math,1,complex
SS1630955052262,1,simple_dissimilar,math,6,6,deviant,1266.9000000003723,images/stimuli/simple_03_A_a.gif,math,1,simple
SS1630955140240,1,complex_dissimilar,math,4,4,deviant,7888.900000095367,images/stimuli/complex_14_A_a.gif,math,1,complex
SS1630955194667,1,complex_dissimilar,math,6,6,deviant,4386.199999988079,images/stimuli/complex_19_A_a.gif,math,1,complex
SS1630955209556,1,simple_dissimilar,math,4,4,deviant,7388.700000047684,images/stimuli/simple_10_A_a.gif,math,1,simple
SS1630955385712,1,simple_dissimilar,math,4,4,deviant,10538.39999999106,images/stimuli/simple_01_A_a.gif,math,1,simple
SS1630955391492,1,simple_dissimilar,math,6,6,deviant,6487.5,images/stimuli/simple_14_A_a.gif,math,1,simple
SS1630955582815,1,simple_dissimilar,math,4,4,deviant,3902.10000000149,images/stimuli/simple_08_A_a.gif,math,1,simple
SS1630955737024,1,simple_dissimilar,math,4,4,deviant,14770,images/stimuli/simple_16_A_a.gif,math,1,simple
SS1630955858861,1,simple_dissimilar,math,4,4,deviant,6057.5999999940395,images/stimuli/simple_16_A_a.gif,math,1,simple
SS1630956004245,1,complex_dissimilar,math,4,4,deviant,4295.600000023842,images/stimuli/complex_09_A_a.gif,math,1,complex
